"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물병원","02_03_01_P","3620000","362000001020120004","20121224","","03","폐업","0002","폐업","20210927","","","","251-1255","83.84","","광주광역시 북구 두암동 927-1","광주광역시 북구 삼정로 95 (두암동)","61157","엔젤동물병원","20211031191035","U","2021-11-02 02:40:00.0","","194205.75","185704.245","동물병원","","000","0",
"2","동물병원","02_03_01_P","3620000","362000001020130001","20130312","","03","폐업","0002","폐업","20141216","","","","576-7093","0","","광주광역시 북구 신용동 691번지","광주광역시 북구 첨단연신로91번길 44, 105호 (신용동, 대성빌딩)","61087","첨단동물병원","20141217085420","I","2018-08-31 23:59:59.0","","187131.958566","189712.31","동물병원","","000","",
"3","동물병원","02_03_01_P","3620000","362000001020160001","20160121","","03","폐업","0002","폐업","20170103","","","","0625712808","0","","광주광역시 북구 본촌동 378-6번지","광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)","61027","광주광역시동물보호소부속동물병원","20170103143116","I","2018-08-31 23:59:59.0","","189132.523692","191478.416598","동물병원","","L00","",
"4","동물병원","02_03_01_P","3620000","362000001019910001","19910710","","03","폐업","0002","폐업","20181212","","","","529-7775","36","","광주광역시 북구 양산동 273-7번지","광주광역시 북구 하서로 367 (양산동)","","운암동물병원","20190122164705","U","2019-01-24 02:40:00.0","","188395.475651","189857.285188","동물병원","","000","",
"5","동물병원","02_03_01_P","3620000","362000001020170001","20170105","","03","폐업","0002","폐업","20171223","","","","","0","","","광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)","61027","광주동물보호소 부속 동물병원","20180117111817","I","2018-08-31 23:59:59.0","","189145","191466","동물병원","","L00","",
"6","동물병원","02_03_01_P","3450000","345000001019810005","19810824","","03","폐업","0002","폐업","20091231","","","","941-1529","235.02","","대구광역시 북구 대현동 229-19번지","대구광역시 북구 대현로 27 (대현동)","","북부동물병원","20091231095114","I","2018-08-31 23:59:59.0","","344723.182424","266253.208998","동물병원","","000","",
"7","동물병원","02_03_01_P","3450000","345000001019920001","19920413","","03","폐업","0002","폐업","20211231","","","","959-1523","65.8","","대구광역시 북구 산격동 495-42","대구광역시 북구 동북로 193 (산격동)","","복현동물병원","20220105101020","U","2022-01-07 02:40:00.0","","345625.376383","267650.325316","동물병원","","000","0",
"8","동물병원","02_03_01_P","3450000","345000001019930001","19930810","","03","폐업","0002","폐업","19930810","","","","","0","","대구광역시 북구 대현동 270-13  번지","","","세진동물병원","20030516115308","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
"9","동물병원","02_03_01_P","3450000","345000001020000002","20000810","","03","폐업","0002","폐업","20120917","","","","424-2455","168","","대구광역시 북구 침산동 222-7번지","대구광역시 북구 침산남로 157 (침산동)","","플러스동물병원","20120913131526","I","2018-08-31 23:59:59.0","","343791.501348","266469.513719","동물병원","","000","",
"10","동물병원","02_03_01_P","3450000","345000001020020001","20020809","","03","폐업","0002","폐업","20060515","","","","325-7965","493.83","","대구광역시 북구 읍내동 443-3번지","","","강북동물병원약품","20060515173301","I","2018-08-31 23:59:59.0","","","","동물병원","","000","",
